ORGNR;NAVN;FRAKTTILSKUDD_EGG;FRAKTTILSKUDD_KORN;FRAKTTILSKUDD_SLAKT;MATKORNTILSKUDD;PRISNEDSKRIVING_KORN;PRISNEDSKRIVING_KORN_IMPORTERTE_KARBORÅVARER
914532264;MALTERIET AS;;;;7357,01;15629,41;
967060291;HUNDSETH MØLLE AS;;;;;8113267,39;
918962247;NORSK ØKORAPS AS;;;;;374689,76;
964878080;SKJELFOSS KORN A/S;;;;;35788183,07;
811747912;FOLLEBU BRUK AS;;;;;1302764,99;
880524992;RØV MØLLE AS;;;;;8516481,75;
975856844;FISKÅ MØLLE AS;;845256,28;;;10167975,04;30549139,32
915442552;FELLESKJØPET ROGALAND AGDER SA;;;;;16132203,29;134871922,6
918707867;BONSAK AS;;;;75011,39;302022,78;
910735802;VESTFOLDMØLLENE AS;;;;;45886880,65;
930385964;PÅ KORNET AS;;;;;1528675,95;
910776703;BRASKEREIDFOSS KORNSILO SA;;;;;31941354,65;
980663515;VINSTRA BRUK AS;;;;;1636066,08;
969184710;HERBJÆRN KOLSTAD;;;;;3003001,21;
989569767;DAG KYRRE LYGRE;;2353,72;;;33708,19;
910629085;LANTMÄNNEN CEREALIA  AS;;;;16467795,8;609585,65;
915590314;GULLIMUNN;;;;4906,59;74916,23;
953852675;ORKLA KORNSILO OG MØLNE SA;;;;;19893724,67;364398,82
913077903;HURUM MØLLE AS;;;;;2966692,96;
915613713;AS RÅDE MØLLE OG KORNSILO;;;;;16403665,83;
851970452;MYSEN KORNSILO OG MØLLE SA;;;;;37433759,25;
846170642;ØSTFOLDKORN SA;;;;;94305772,83;
995641445;HOLLI MØLLE AS;;267198,56;;269108,81;2430310,72;
993055042;ØKOLOGISK SPESIALKORN SKANDINAVIA AS;;;;33220,28;273764,23;
987098724;GJØLSTAD GÅRD AS;;;;;3295223,69;
916329717;STRAND UNIKORN AS;;6288888,13;;;132932851,6;
959079420;RINGERIKES KORNSILO SA;;;;;29921317,39;
991500839;FISKÅ MØLLE FLISA AS;;;;;31616634,81;
911608103;FELLESKJØPET AGRI SA;;65266873,02;;;799967048,7;95679688,56
924350776;TVETER GÅRD FOREDLING AS;;47544,84;;221001,58;988841,31;
950121718;VESTBY MØLLE & KORNSILO SA;;;;;17928461,05;
987634723;ØSTMØLLENE AS;;;;;41847163,14;
938639604;LØTEN MØLLE AS;;;;;24026102,22;
913980484;OTTADALEN MØLLE SA;;;;95952,53;3494935,99;
977175062;MØRK ENGEBRETSEN INVEST AS;;;;;4675896,96;
984109008;FISKÅ MØLLE TRØNDERLAG AS;;;;;39726386,36;
984669127;FISKÅ MØLLE MOSS  AS;;11016229,46;;;72471331,49;
992316691;NORSK SPELT AS;;;;8282,99;52822,6;
916931182;JÆRMALT KLEPP;;;;42198,1;432329,69;
918340998;GJULEM AGRO AS;;;;;2856613,52;
971772263;STANGELAND MØLLE AS;;;;1642944,71;;
988300020;SLAKTHUSET EIDSMO DULLUM AS;;;5734350;;;
981682955;NORDFJORD KJØTT SLAKT AS;;;302489;;;
885209432;PRIMA SLAKT AS;;;2108578;;;
926328409;DYSTER SLAKTERI AS;;;42494;;;
973143581;NORGESMØLLENE AS  AVD SKIEN;;;;5782109,1;;
934469801;FATLAND OSLO AS;;;6768730;;;
968932683;MIDT-NORGE SLAKTERI AS;;;6403077;;;
950381442;HORNS SLAKTERI AS;;;5468165;;;
985152861;ØRE VILT SA;;;86115;;;
968410199;MØLLEHUSET AS;;12230,95;;12190;;
872406492;YTRE NORDMØRE SLAKTERI AS;;;593618;;;
973167294;NORGESMØLLENE AS  AVD VAKSDAL;;;;7218820,96;;
992414782;LARSASTOVA GARDSSLAKTERI;;;232766;;;
915398251;OLE RINGDAL AS;;;2456159;;;
912741672;OLE JOHAN ANSTENSRUD;;24474,5;;;;
934097238;FURUSETH AS;;;4873610;;;
917225168;VOLDA ELEKTRISKE MYLNE AS;;4855;;10199,81;;
986773231;SILJANHJORT AS;;;11425;;;
914250757;JONAS H MELING AS;16925,93;;;;;
928139522;GARDSSLAKTERIET AS;;;238058;;;
886383932;JENS EIDE AS;;;4803374;;;
938752648;NORTURA SA;8576860,64;;150419180;;;
984155913;NORGANIC AS;;;;40076,19;;
812358812;NORSK URKORN;;;;16880,62;;
952971441;STANGELAND MØLLE AS;;88298,12;;;;
921139233;BØ GÅRDSSLAKTERI AS;;;140237;;;
886721382;KVELDE MØLLE AS;;;;253158,66;;
921139888;OPDAL NORDRE GÅRDSSLAKTERI AS;;;2701;;;
930054968;FATLAND ØLEN AS;;;10490107;;;
915039537;DØLSVEEN SØNDRE - MARIANNE HAMRE;;;1664;;;
973167332;NORGESMØLLENE AS  AVD BUVIKA;;;;9129080,62;;
975871096;NORGESFÔR AS;;254376,51;;;;16382144,2
924730846;HAFJELL SLAKTERI;;;220090;;;
993289620;VOSS GARDSSLAKTERI SA;;;40834;;;
969265184;NJK MOBILSLAKT;;;29610;;;
913251342;FATLAND JÆREN AS;;;3137981;;;
