ORGNR;NAVN;FRAKTTILSKUDD_EGG;FRAKTTILSKUDD_KORN;FRAKTTILSKUDD_SLAKT;MATKORNTILSKUDD;PRISNEDSKRIVING_KORN
811747912;FOLLEBU BRUK AS;;;;;1780522
833273612;64 GRADER NORD AS;;;;;260812
846170642;ØSTFOLDKORN SA;;;;;113576455
851970452;MYSEN KORNSILO OG MØLLE SA;;;;;40434640
910735802;Vestfoldmøllene As;;146643,83;;;59883168
910776703;BRASKEREIDFOSS KORNSILO SA;;;;;36642806
911608103;FELLESKJØPET AGRI SA;;84931898,1;;;903057712
913077903;HURUM MØLLE AS;;;;35165;3889361
913980484;OTTADALEN MØLLE SA;;;;163869;4231792
914532264;MALTERIET AS;;;;4392;107100
915442552;Felleskjøpet Rogaland Agder SA;;;;;17260865
915590314;GULLIMUNN AS;;;;9490;69223
915613713;AS Råde Mølle og Kornsilo;;;;;20757100
916329717;Strand Unikorn AS, Moelv;;12255804,9;;;159037528
916931182;JÆRMALT KLEPP;;10358,41;;91241;460819
918340998;GJULEM AGRO AS;;;;;3037732
918707867;BONSAK AS;;;;157884;179571
918962247;NORSK ØKORAPS AS;;;;;478580
921146620;TO GODE NABOER AS;;;;;90547
924350776;TVETER GÅRD FOREDLING AS;;113770,49;;281350;1375735
930385964;PÅ KORNET AS;;;;;1801941
935482291;HK AGRI AS;;;;;1674796
938639604;Løten Mølle AS;;;;;29367981
950121718;VESTBY MØLLE & KORNSILO SA;;;;;23232398
953852675;Orkla Kornsilo og Mølne SA;;;;;13360200
959079420;RINGERIKES KORNSILO SA;;;;;33351913
964878080;FISKÅ MØLLE SKJELFOSS AS;;;;;46041235
967060291;Hundseth Mølle AS;;;;;5889090
969184710;KOLSTAD HERBJØRN;;;;;252492
975856844;Fiskå Mølle AS;;16231780,85;;;111297916
977175062;MØRK ENGEBRETSEN INVEST AS;;;;;5587687
980663515;Vinstra Bruk AS;;;;;2192980
984109008;Fiskå Mølle Trøndelag AS, Rissa;;;;;4350839
984669127;FISKÅ MØLLE MOSS AS;;11570145,45;;;20956806
987098724;GJØLSTAD GÅRD AS;;;;;4003173
987634723;ØSTMØLLENE AS;;;;;50766386
989569767;DAG KYRRE LYGRE;;10676,1;;;84014
991500839;FISKÅ MØLLE FLISA AS;;;;;31856980
993055042;SIGDAL MØLLE AS;;;;28919;293103
995641445;HOLLI MØLLE AS;;298896,83;;738092;2714921
917225168;VOLDA ELEKTRISKE MYLNE AS;;4134;;14743;
952971441;STANGELAND MØLLE AS;;39677,79;;3395364;
971772263;STANGELAND MØLLE AS;;;;283593,3;
968410199;MØLLEHUSET AS;;32672,95;;30080;
975871096;NORGESFÔR AS;;168288,42;;;
981876865;KJELL EINAR ANDERSEN;;996,84;;;
812358812;NORSK URKORN AS;;;;86365;
886721382;KVELDE MØLLE AS;;;;553780;
910629085;LANTMANNEN CEREALIA AS;;;;31581463;
973143581;NORGESMØLLENE AS  AVD SKIEN;;;;9593627;
973167294;NORGESMØLLENE AS  AVD VAKSDAL;;;;11299708;
973167332;NORGESMØLLENE AS  AVD BUVIKA;;;;8632486;
984155913;NORGANIC AS;;;;39260;
992316691;NORSK SPELT AS;;;;15659;
920000185;BERG - GÅRD AS;;;1869;;
922049637;BULL GÅRD DA;;;18520;;
921139233;Bø Gårdsslakteri AS;;;135787;;
927042746;Dalir Kjøtt AS;;;2030053;;
947097733;DALPRO AS;;;58095;;
926328409;Dyster Slakteri AS;;;36599;;
915039537;Dølsveen Søndre - Marianne Hamre;;;3305;;
928139522;GARDSSLAKTERIET AS;;;181103;;
924730846;Hafjell Slakteri;;;133661;;
992414782;LARSASTOVA GARDSSLAKTERI;;;221911;;
969265184;NJK mobilslakt;;;7386;;
915398251;OLE RINGDAL AS;;;2526524;;
921139888;Opdal Nordre Gårdsslakteri AS;;;1781;;
986773231;SILJANHJORT AS;;;23603;;
991436472;VIKJA AS;;;43614;;
993289620;VOSS GARDSSLAKTERI SA;;;43472;;
872406492;YTRE NORDMØRE SLAKTERI AS;;;668614;;
985152861;ØRE VILT SA;;;110534;;
913251342;FATLAND JÆREN AS;;;2301306;;
934469801;FATLAND OSLO AS;;;9812886;;
930054968;FATLAND ØLEN AS;;;10287381;;
934097238;FURUSETH AS;;;8504421;;
950381442;HORNS SLAKTERI AS;;;5626347;;
886383932;JENS EIDE AS;;;2040457;;
968932683;MIDT-NORGE SLAKTERI AS;;;6229421;;
938752648;NORTURA SA;12652223,51;;156563755;;
885209432;PRIMA SLAKT AS;;;1319404;;
947979248;RØROS SLAKTERI AS;;;2252651;;
988300020;SLAKTHUSET EIDSMO DULLUM AS;;;5893419;;
980403815;Den Stolte Hane AS;143374,55;;;;
996037223;RIAS-PAKKERI AS;160866,38;;;;
914250757;JONAS H MELING AS;31718,28;;;;
